"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5993","SC-003: Ошибка валидации name (двойные пробелы)","sales-portal-api","Wed Dec 17 21:54:15 UTC 2025","passed","Wed Dec 17 21:54:21 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","708","SC-003: Отсутствует обязательное поле name","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] [Create]","","",""
"","7946","SC-011: Сортировка по manufacturer (desc)","sales-portal-api","Wed Dec 17 21:55:18 UTC 2025","passed","Wed Dec 17 21:55:26 UTC 2025","[API] [Sales Portal] [Products] Get Sorted > Sorting","","",""
"","5841","SC-021: Обновление с невалидным name","sales-portal-api","Wed Dec 17 21:55:35 UTC 2025","passed","Wed Dec 17 21:55:41 UTC 2025","[API] [Sales Portal] [Products] [Update]","","",""
"","18127","Delete comment from Order","sales-portal-api","Wed Dec 17 21:52:51 UTC 2025","passed","Wed Dec 17 21:53:10 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","3745","SC-005: Ошибка валидации amount (отрицательное значение)","sales-portal-api","Wed Dec 17 21:54:25 UTC 2025","passed","Wed Dec 17 21:54:28 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","3915","SC-056: Missing required field customer","sales-portal-api","Wed Dec 17 21:52:36 UTC 2025","passed","Wed Dec 17 21:52:40 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","4917","Add valid comment to Order","sales-portal-api","Wed Dec 17 21:52:20 UTC 2025","passed","Wed Dec 17 21:52:25 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","2169","SC-005: Ошибка валидации amount (нечисловое значение)","sales-portal-api","Wed Dec 17 21:54:28 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","11956","SC-010: Поиск товара по производителю","sales-portal-api","Wed Dec 17 21:54:57 UTC 2025","passed","Wed Dec 17 21:55:09 UTC 2025","[API] [Sales Portal] [Products] Get Sorted > Search","","",""
"","1945","SC-003: Отсутствует обязательное поле name","sales-portal-api","Wed Dec 17 21:54:21 UTC 2025","passed","Wed Dec 17 21:54:23 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","2019","SC-006: Неправильный Content-Type","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:33 UTC 2025","[API] [Sales Portal] [Products] [Create]","","",""
"","3105","SC-005: Отсутствует обязательное поле price","sales-portal-api","Wed Dec 17 21:54:24 UTC 2025","passed","Wed Dec 17 21:54:27 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","2104","SC-002: Ошибка валидации notes (длина > 250)","sales-portal-api","Wed Dec 17 21:54:28 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","3087","SC-046: Обновление нескольких полей (name, phone)","sales-portal-api","Wed Dec 17 21:52:16 UTC 2025","passed","Wed Dec 17 21:52:19 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","155","SC-024: Повторное удаление того же товара","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:32 UTC 2025","[API] [Sales Portal] [Products] [Delete]","","",""
"","902","SC-026: Удаление с невалидным ID","sales-portal-api","Wed Dec 17 21:54:32 UTC 2025","passed","Wed Dec 17 21:54:33 UTC 2025","[API] [Sales Portal] [Products] [Delete]","","",""
"","190","SC-009: Фильтр по нескольким производителям","sales-portal-api","Wed Dec 17 21:54:33 UTC 2025","passed","Wed Dec 17 21:54:34 UTC 2025","[API][Sales Portal][Products][Positive] Get All Products","","",""
"","3964","SC-003: Ошибка валидации name (2 символа)","sales-portal-api","Wed Dec 17 21:54:11 UTC 2025","passed","Wed Dec 17 21:54:15 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","2044","SC-003: Ошибка валидации name (41 символ)","sales-portal-api","Wed Dec 17 21:54:14 UTC 2025","passed","Wed Dec 17 21:54:16 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","3973","SC-063: Check order history creation","sales-portal-api","Wed Dec 17 21:52:51 UTC 2025","passed","Wed Dec 17 21:52:55 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","7853","Invalid address flat => negative value","sales-portal-api","Wed Dec 17 21:53:27 UTC 2025","passed","Wed Dec 17 21:53:35 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","10921","SC-001: Успешное создание товара (amount = 999)","sales-portal-api","Wed Dec 17 21:54:00 UTC 2025","passed","Wed Dec 17 21:54:11 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","804","Succesed getting notification list","sales-portal-api","Wed Dec 17 21:52:20 UTC 2025","passed","Wed Dec 17 21:52:20 UTC 2025","[API][Sales Portal][Notifications][Positive] Get All Notifications","","",""
